EID,FORTARGET,PROB
350,0,0.0623025782406
562,0,0.135620132089
632,0,0.168134227395
750,1,0.294603824615
823,1,0.301842093468
876,0,0.233977273107
987,0,0.160395815969
1048,1,0.290360122919
1098,1,0.30783572793
1609,0,0.195981994271
1615,1,0.309459865093
1666,0,0.191906705499
1708,0,0.137746691704
1716,0,0.103827618062
1797,0,0.26383176446
2023,1,0.344689548016
2293,0,0.197012156248
2320,1,0.30387827754
2384,0,0.22457960248
2821,0,0.0924597382545
3026,0,0.114334836602
3273,0,0.10368411243
3338,1,0.319861590862
3369,0,0.15442545712
3473,0,0.209568664432
3493,0,0.238342612982
3500,0,0.123806461692
3598,1,0.399757146835
3646,0,0.22457960248
3649,0,0.0637540966272
3728,0,0.0232736691833
4025,0,0.108834803104
4090,0,0.227912306786
4192,1,0.536417424679
4527,0,0.212116703391
4566,0,0.24160464108
4621,0,0.242436274886
4632,0,0.243455782533
5039,0,0.232192859054
5156,0,0.154911190271
5351,0,0.194898992777
5573,1,0.286651313305
5658,0,0.140654549003
5682,1,0.281051337719
5799,0,0.239890992641
5986,0,0.0498111397028
6670,0,0.24196870625
6854,0,0.27060636878
6874,0,0.147318705916
7120,0,0.201074779034
7248,0,0.0662921369076
7565,0,0.247781544924
8008,0,0.145511910319
8295,0,0.133921042085
8372,0,0.17764697969
8410,1,0.316064536572
8484,0,0.146274000406
8647,0,0.205874040723
8782,0,0.177667677402
8812,0,0.119777269661
8959,0,0.105518810451
9218,0,0.139900386333
9245,0,0.142037212849
9359,0,0.103056892753
9366,0,0.0503852404654
9713,0,0.177388176322
9737,0,0.174135252833
9841,0,0.175734117627
9862,0,0.118881061673
9903,0,0.0981171131134
9958,0,0.260795712471
10001,0,0.102001950145
10039,0,0.135159522295
10297,0,0.0637861788273
10587,0,0.0967302471399
10643,0,0.0499941408634
10644,0,0.0479197390378
10751,0,0.187890216708
10916,1,0.537908375263
10971,0,0.117967642844
11065,1,0.290832400322
11464,1,0.651918172836
11616,0,0.127803727984
11647,1,0.300620168447
11717,0,0.203665837646
11961,0,0.135371014476
12168,0,0.0919649973512
12404,0,0.192527145147
12449,0,0.0504510402679
12497,0,0.111739747226
12699,0,0.234943374991
12836,0,0.13082575798
12937,0,0.0587090998888
12968,0,0.0547604598105
12980,0,0.171050906181
13276,0,0.126276105642
13533,0,0.106082312763
13734,0,0.232508033514
13911,0,0.191294237971
14032,0,0.0961073711514
